,genres,level_0
12,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,[u'Star Wars: The Clone Wars\xc2']
13,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,[u'9\xc2']
14,Action|Adventure|Animation|Family,[u'The Incredibles\xc2']
15,Action|Adventure|Animation|Family|Fantasy,"[u""Legend of the Guardians: The Owls of Ga'Hoole\xc2""
 u'Yu-Gi-Oh! Duel Monsters\xc2']"
16,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,[u'Atlantis: The Lost Empire\xc2' u'Pok\xc3\xa9mon 3: The Movie\xc2']
17,Action|Adventure|Animation|Family|Sci-Fi,[u'Titan A.E.\xc2' u'Digimon: The Movie\xc2']
18,Action|Adventure|Animation|Family|Sci-Fi|Thriller,[u'Steamboy\xc2']
19,Action|Adventure|Animation|Fantasy,[u'Beowulf\xc2']
20,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,[u'Final Fantasy: The Spirits Within\xc2']
21,Action|Adventure|Biography|Drama|History,[u'Spartacus: War of the Damned\xc2']
22,Action|Adventure|Biography|Drama|History|Romance|War,[u'Alexander\xc2']
23,Action|Adventure|Biography|Drama|History|Thriller,[u'In the Heart of the Sea\xc2']
24,Action|Adventure|Comedy,"[u'Around the World in 80 Days\xc2' u'Cutthroat Island\xc2'
 u'Get Smart\xc2' u'The Man from U.N.C.L.E.\xc2' u'Hudson Hawk\xc2'
 u'Wild Hogs\xc2' u'The Dukes of Hazzard\xc2' u'Shanghai Knights\xc2'
 u'Johnny English\xc2' u'Crocodile Dundee II\xc2' u'Silver Medallist\xc2']"
25,Action|Adventure|Comedy|Crime,"[u""Charlie's Angels: Full Throttle\xc2"" u'Kangaroo Jack\xc2'
 u'Johnny English Reborn\xc2' u'Austin Powers: The Spy Who Shagged Me\xc2'
 u'Nothing to Lose\xc2' u""It's a Mad, Mad, Mad, Mad World\xc2""]"
26,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,[u'Agent Cody Banks\xc2']
27,Action|Adventure|Comedy|Crime|Music|Mystery,[u'The Adventures of Ford Fairlane\xc2']
28,Action|Adventure|Comedy|Crime|Mystery|Thriller,[u'Now You See Me 2\xc2']
29,Action|Adventure|Comedy|Crime|Thriller,"[u""Charlie's Angels\xc2""]"
30,Action|Adventure|Comedy|Drama|Music|Sci-Fi,[u'Six-String Samurai\xc2']
31,Action|Adventure|Comedy|Drama|Thriller,[u'Chill Factor\xc2']
32,Action|Adventure|Comedy|Drama|War,[u'Three Kings\xc2']
33,Action|Adventure|Comedy|Family,[u'The Crocodile Hunter: Collision Course\xc2']
34,Action|Adventure|Comedy|Family|Fantasy,[u'Night at the Museum\xc2']
35,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,[u'Men in Black II\xc2']
36,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,"[u'Men in Black 3\xc2' u'Journey 2: The Mysterious Island\xc2'
 u'Zathura: A Space Adventure\xc2' u'Teenage Mutant Ninja Turtles III\xc2']"
37,Action|Adventure|Comedy|Family|Mystery,[u'National Treasure\xc2']
38,Action|Adventure|Comedy|Family|Romance,[u'George of the Jungle\xc2']
39,Action|Adventure|Comedy|Family|Romance|Sci-Fi,[u'Agent Cody Banks 2: Destination London\xc2']
40,Action|Adventure|Comedy|Family|Sci-Fi,"[u'Inspector Gadget\xc2' u'Thunderbirds\xc2'
 u'Spy Kids 3-D: Game Over\xc2' u'Small Soldiers\xc2'
 u'Spy Kids 2: Island of Lost Dreams\xc2' u'Spy Kids\xc2'
 u'Spy Kids: All the Time in the World in 4D\xc2'
 u'Teenage Mutant Ninja Turtles II: The Secret of the Ooze\xc2']"
41,Action|Adventure|Comedy|Fantasy,"[u'Last Action Hero\xc2' u'The Phantom\xc2'
 u'Big Trouble in Little China\xc2']"
42,Action|Adventure|Comedy|Fantasy|Mystery,[u'The Golden Child\xc2']
43,Action|Adventure|Comedy|Fantasy|Romance,[u'George and the Dragon\xc2']
44,Action|Adventure|Comedy|Fantasy|Sci-Fi,[u'The Helix... Loaded\xc2']
45,Action|Adventure|Comedy|Fantasy|Thriller,[u'The Brothers Grimm\xc2']
46,Action|Adventure|Comedy|Musical,[u'Pootie Tang\xc2']
47,Action|Adventure|Comedy|Music|Thriller,[u'Ishtar\xc2']
48,Action|Adventure|Comedy|Romance,[u'Six Days Seven Nights\xc2' u'My Lucky Star\xc2']
49,Action|Adventure|Comedy|Romance|Sci-Fi,[u'Deadpool\xc2' u'Howard the Duck\xc2' u'The Ice Pirates\xc2']
50,Action|Adventure|Comedy|Romance|Thriller,"[u""Fool's Gold\xc2""]"
51,Action|Adventure|Comedy|Romance|Thriller|Western,[u'The Mask of Zorro\xc2']
52,Action|Adventure|Comedy|Sci-Fi,"[u'Suicide Squad\xc2' u'Ant-Man\xc2' u'Teenage Mutant Ninja Turtles\xc2'
 u'Teenage Mutant Ninja Turtles: Out of the Shadows\xc2']"
53,Action|Adventure|Comedy|Sci-Fi|Thriller,[u'Clockstoppers\xc2']
54,Action|Adventure|Comedy|Thriller,"[u'Sahara\xc2' u'The Rundown\xc2' u'Bad Company\xc2' u'I Spy\xc2'
 u'Street Fighter\xc2']"
55,Action|Adventure|Comedy|Western,"[u'Shanghai Noon\xc2' u'The Good, the Bad, the Weird\xc2']"
56,Action|Adventure|Crime,[u'The A-Team\xc2']
57,Action|Adventure|Crime|Drama,[u'Chicago Overcoat\xc2']
58,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,[u'Reindeer Games\xc2']
59,Action|Adventure|Crime|Drama|Mystery|Thriller,[u'The Fugitive\xc2']
60,Action|Adventure|Crime|Drama|Romance,[u'Fled\xc2']
61,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,[u'Daredevil\xc2']
62,Action|Adventure|Crime|Drama|Thriller,[u'Snakes on a Plane\xc2']
63,Action|Adventure|Crime|Fantasy|Mystery|Thriller,[u'The Shadow\xc2']
64,Action|Adventure|Crime|Mystery|Thriller,[u'Sherlock Holmes: A Game of Shadows\xc2' u'Sherlock Holmes\xc2']
65,Action|Adventure|Crime|Thriller,"[u'S.W.A.T.\xc2' u'The Jackal\xc2' u'xXx: State of the Union\xc2'
 u'Ronin\xc2' u'Into the Blue\xc2' u'The River Wild\xc2'
 u'The Art of War\xc2' u'Speed\xc2' u'A Lonely Place to Die\xc2']"
66,Action|Adventure|Drama,"[u'Exodus: Gods and Kings\xc2' u'Noah\xc2' u'First Blood\xc2'
 u'All Is Lost\xc2' u'Seven Samurai\xc2']"
67,Action|Adventure|Drama|Family,[u'The Young and Prodigious T.S. Spivet\xc2']
68,Action|Adventure|Drama|Fantasy,"[u'Snow White and the Huntsman\xc2' u'47 Ronin\xc2'
 u""The Huntsman: Winter's War\xc2""
 u'The Lord of the Rings: The Fellowship of the Ring\xc2'
 u'The Lord of the Rings: The Return of the King\xc2'
 u'The Lord of the Rings: The Two Towers\xc2']"
69,Action|Adventure|Drama|Fantasy|Sci-Fi,[u'Stargate: The Ark of Truth\xc2']
70,Action|Adventure|Drama|Fantasy|War,[u'Baahubali: The Beginning\xc2']
71,Action|Adventure|Drama|History,[u'Robin Hood\xc2' u'Dragon Blade\xc2']
72,Action|Adventure|Drama|History|Romance,[u'Pompeii\xc2' u'Rapa Nui\xc2' u'The Bounty\xc2']
73,Action|Adventure|Drama|History|Romance|War,[u'Flyboys\xc2']
74,Action|Adventure|Drama|History|Thriller|War,[u'Centurion\xc2']
75,Action|Adventure|Drama|History|War,"[u'Master and Commander: The Far Side of the World\xc2'
 u'Kingdom of Heaven\xc2' u'Red Tails\xc2' u'Red Cliff\xc2' u'1911\xc2'
 u'55 Days at Peking\xc2' u'The Legend of Suriyothai\xc2']"
76,Action|Adventure|Drama|Horror|Sci-Fi,[u'Godzilla Resurgence\xc2']
77,Action|Adventure|Drama|Mystery,[u'Risen\xc2']
78,Action|Adventure|Drama|Romance,"[u'King Kong\xc2' u'The Legend of Tarzan\xc2'
 u'Robin Hood: Prince of Thieves\xc2' u'House of Flying Daggers\xc2']"
79,Action|Adventure|Drama|Romance|Sci-Fi,[u'Superman\xc2']
80,Action|Adventure|Drama|Romance|Thriller,[u'The Count of Monte Cristo\xc2']
81,Action|Adventure|Drama|Romance|War,[u'The Last of the Mohicans\xc2' u'Arn: The Knight Templar\xc2']
82,Action|Adventure|Drama|Romance|Western,[u'Quigley Down Under\xc2']
83,Action|Adventure|Drama|Sci-Fi,"[u'Dawn of the Planet of the Apes\xc2' u'The Postman\xc2'
 u'Stargate SG-1\xc2' u'Space Battleship Yamato\xc2' u'Revolution\xc2']"
84,Action|Adventure|Drama|Sci-Fi|Thriller,[u'Star Trek: First Contact\xc2' u'Godzilla 2000\xc2']
85,Action|Adventure|Drama|Thriller,"[u'Poseidon\xc2' u'The Perfect Storm\xc2' u'San Andreas\xc2'
 u'Twister\xc2' u'Air Force One\xc2' u'The Book of Eli\xc2'
 u'The Edge\xc2' u'Daylight\xc2' u'Vertical Limit\xc2'
 u'Flight of the Phoenix\xc2' u'Apocalypto\xc2' u'Raise the Titanic\xc2'
 u'The Grey\xc2']"
86,Action|Adventure|Drama|Thriller|War,[u'Act of Valor\xc2']
87,Action|Adventure|Drama|Thriller|Western,[u'Texas Rangers\xc2']
88,Action|Adventure|Drama|War,[u'Saints and Soldiers\xc2']
89,Action|Adventure|Drama|Western,[u'Tracker\xc2']
90,Action|Adventure|Family|Fantasy,"[u'The Chronicles of Narnia: Prince Caspian\xc2'
 u""The Sorcerer's Apprentice\xc2"" u'The Last Airbender\xc2' u'Eragon\xc2'
 u'The Adventures of Sharkboy and Lavagirl 3-D\xc2']"
91,Action|Adventure|Family|Fantasy|Romance,[u'Maleficent\xc2']
92,Action|Adventure|Family|Fantasy|Sci-Fi,[u'Journey to the Center of the Earth\xc2']
93,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,[u'Race to Witch Mountain\xc2']
94,Action|Adventure|Family|Fantasy|Thriller,[u'Mighty Joe Young\xc2']
95,Action|Adventure|Family|Mystery,[u'The Adventures of Tintin\xc2']
96,Action|Adventure|Family|Mystery|Sci-Fi,[u'Tomorrowland\xc2']
97,Action|Adventure|Family|Sci-Fi,[u'Zoom\xc2' u'Superman IV: The Quest for Peace\xc2']
98,Action|Adventure|Family|Sci-Fi|Thriller,[u'Lost in Space\xc2']
99,Action|Adventure|Family|Thriller,[u'Alex Rider: Operation Stormbreaker\xc2']
100,Action|Adventure|Fantasy,"[u""Pirates of the Caribbean: At World's End\xc2""
 u""Pirates of the Caribbean: Dead Man's Chest\xc2""
 u'Pirates of the Caribbean: On Stranger Tides\xc2'
 u'The Amazing Spider-Man\xc2'
 u'Indiana Jones and the Kingdom of the Crystal Skull\xc2' u'Warcraft\xc2'
 u'Thor: The Dark World\xc2' u'Thor\xc2' u'Wrath of the Titans\xc2'
 u'Gods of Egypt\xc2'
 u'Pirates of the Caribbean: The Curse of the Black Pearl\xc2'
 u'Clash of the Titans\xc2' u'Batman Forever\xc2' u'Seventh Son\xc2'
 u'Lara Croft Tomb Raider: The Cradle of Life\xc2'
 u'The Last Witch Hunter\xc2' u'The Legend of Hercules\xc2'
 u'Xi you ji zhi: Sun Wukong san da Baigu Jing\xc2' u'DragonHeart\xc2'
 u'The Forbidden Kingdom\xc2' u'Indiana Jones and the Last Crusade\xc2'
 u'Krull\xc2' u'Warriors of Virtue\xc2' u'Conan the Destroyer\xc2'
 u'Dragonslayer\xc2' u'Red Sonja\xc2' u'Highlander\xc2'
 u'Dungeons & Dragons: Wrath of the Dragon God\xc2' u'The Beastmaster\xc2']"
101,Action|Adventure|Fantasy|Horror,[u'BloodRayne\xc2']
102,Action|Adventure|Fantasy|Horror|Sci-Fi,[u'Hellboy II: The Golden Army\xc2']
103,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,[u'Blade: Trinity\xc2']
104,Action|Adventure|Fantasy|Horror|Thriller,[u'The Mummy: Tomb of the Dragon Emperor\xc2']
105,Action|Adventure|Fantasy|Romance,"[u'Spider-Man 2\xc2' u'Prince of Persia: The Sands of Time\xc2'
 u'Spider-Man\xc2']"
106,Action|Adventure|Fantasy|Sci-Fi,"[u'Avatar\xc2' u'Man of Steel\xc2' u'The Amazing Spider-Man 2\xc2'
 u'Star Wars: Episode III - Revenge of the Sith\xc2'
 u'Star Wars: Episode II - Attack of the Clones\xc2'
 u'Star Wars: Episode I - The Phantom Menace\xc2'
 u'The League of Extraordinary Gentlemen\xc2'
 u'Star Wars: Episode VI - Return of the Jedi\xc2'
 u'Star Wars: Episode V - The Empire Strikes Back\xc2'
 u'Highlander: Endgame\xc2' u'Star Wars: Episode IV - A New Hope\xc2'
 u'Beastmaster 2: Through the Portal of Time\xc2' u'Destiny\xc2']"
107,Action|Adventure|Fantasy|Sci-Fi|Thriller,"[u'X-Men: The Last Stand\xc2' u'X-Men: Days of Future Past\xc2'
 u'X-Men Origins: Wolverine\xc2' u'X-Men 2\xc2' u'Reign of Fire\xc2'
 u'Underworld: Evolution\xc2' u'Underworld: Rise of the Lycans\xc2'
 u'Mortal Kombat: Annihilation\xc2' u'Dragonball: Evolution\xc2'
 u'Megiddo: The Omega Code 2\xc2' u'Mortal Kombat\xc2'
 u'The Omega Code\xc2']"
108,Action|Adventure|Fantasy|Thriller,"[u'The Mummy Returns\xc2' u'Lara Croft: Tomb Raider\xc2'
 u'The Scorpion King\xc2'
 u'In the Name of the King: A Dungeon Siege Tale\xc2'
 u""Cirque du Freak: The Vampire's Assistant\xc2""
 u'In the Name of the King: The Last Job\xc2']"
109,Action|Adventure|Fantasy|War,[u'The Last Legion\xc2']
110,Action|Adventure|History,[u'The 13th Warrior\xc2' u'Hero\xc2' u'Caravans\xc2']
111,Action|Adventure|History|Romance,[u'Ironclad\xc2']
112,Action|Adventure|History|Western,"[u""The Legend of Hell's Gate: An American Conspiracy\xc2""]"
113,Action|Adventure|Horror|Sci-Fi,"[u'Doom\xc2' u'Resident Evil: Afterlife\xc2' u'Deep Rising\xc2'
 u'Cloverfield\xc2']"
114,Action|Adventure|Horror|Sci-Fi|Thriller,[u'World War Z\xc2' u'A Sound of Thunder\xc2' u'The Darkest Hour\xc2']
115,Action|Adventure|Horror|Thriller,[u'Anaconda\xc2' u'Anacondas: The Hunt for the Blood Orchid\xc2']
116,Action|Adventure|Mystery|Romance|Thriller,[u'Death Calls\xc2']
117,Action|Adventure|Mystery|Sci-Fi,[u'Oblivion\xc2' u'Congo\xc2']
118,Action|Adventure|Mystery|Sci-Fi|Thriller,"[u'Allegiant\xc2' u'Sky Captain and the World of Tomorrow\xc2'
 u'Star Trek: Generations\xc2']"
119,Action|Adventure|Romance,"[u'Spider-Man 3\xc2' u'The Three Musketeers\xc2' u""A Knight's Tale\xc2""
 u'The Musketeer\xc2']"
120,Action|Adventure|Romance|Sci-Fi,[u'The Lovers\xc2' u'Superman II\xc2' u'Krrish\xc2']
121,Action|Adventure|Romance|Sci-Fi|Thriller,[u'The Island\xc2' u'The Saint\xc2' u'The Host\xc2']
122,Action|Adventure|Romance|Thriller,[u'First Knight\xc2']
123,Action|Adventure|Romance|War,[u'The Charge of the Light Brigade\xc2']
124,Action|Adventure|Romance|Western,[u'Red River\xc2']
125,Action|Adventure|Sci-Fi,"[u'John Carter\xc2' u'Avengers: Age of Ultron\xc2'
 u'Batman v Superman: Dawn of Justice\xc2' u'Superman Returns\xc2'
 u'The Avengers\xc2' u'Captain America: Civil War\xc2' u'Iron Man 3\xc2'
 u'Transformers: Revenge of the Fallen\xc2'
 u'Transformers: Age of Extinction\xc2' u'TRON: Legacy\xc2'
 u'Green Lantern\xc2' u'Terminator Salvation\xc2'
 u'Star Trek Into Darkness\xc2' u'Pacific Rim\xc2'
 u'Transformers: Dark of the Moon\xc2' u'2012\xc2'
 u'Jupiter Ascending\xc2' u'X-Men: Apocalypse\xc2' u'Iron Man\xc2'
 u'Edge of Tomorrow\xc2' u'Iron Man 2\xc2'
 u'Captain America: The Winter Soldier\xc2'
 u'Independence Day: Resurgence\xc2' u'Guardians of the Galaxy\xc2'
 u'X-Men: First Class\xc2' u'Terminator Genisys\xc2' u'Transformers\xc2'
 u'Star Trek\xc2' u'Captain America: The First Avenger\xc2'
 u'The Incredible Hulk\xc2' u'After Earth\xc2' u'Fantastic Four\xc2'
 u'The Fifth Element\xc2' u'The Time Machine\xc2' u'Battlefield Earth\xc2'
 u'Timeline\xc2' u'Independence Day\xc2'
 u'The Lost World: Jurassic Park\xc2' u'X-Men\xc2' u'Dune\xc2'
 u'Obitaemyy ostrov\xc2' u'Flash Gordon\xc2' u'Wing Commander\xc2'
 u'Star Trek III: The Search for Spock\xc2' u'Aliens\xc2'
 u'Star Trek II: The Wrath of Khan\xc2' u""Logan's Run\xc2""
 u'Beneath the Planet of the Apes\xc2']"
126,Action|Adventure|Sci-Fi|Thriller,"[u'Battleship\xc2' u'Jurassic World\xc2' u'Star Trek Beyond\xc2'
 u'Waterworld\xc2' u'G.I. Joe: The Rise of Cobra\xc2' u'Inception\xc2'
 u'Mad Max: Fury Road\xc2' u'Armageddon\xc2' u'Stealth\xc2'
 u'G.I. Joe: Retaliation\xc2' u'The Day After Tomorrow\xc2'
 u'Fantastic 4: Rise of the Silver Surfer\xc2'
 u'The Chronicles of Riddick\xc2' u'The Wolverine\xc2'
 u'Planet of the Apes\xc2' u'Jurassic Park III\xc2' u'The Core\xc2'
 u'Jumper\xc2' u'Star Trek: Insurrection\xc2' u'Star Trek: Nemesis\xc2'
 u'I Am Number Four\xc2' u'Escape from L.A.\xc2' u'Babylon A.D.\xc2'
 u'Predators\xc2' u'Serenity\xc2' u'The 5th Wave\xc2' u'Moonraker\xc2'
 u'Star Trek V: The Final Frontier\xc2'
 u'Star Trek VI: The Undiscovered Country\xc2' u'Lockout\xc2'
 u'The Spy Who Loved Me\xc2' u'Mad Max Beyond Thunderdome\xc2'
 u'Mad Max 2: The Road Warrior\xc2' u'Mad Max\xc2']"
127,Action|Adventure|Thriller,"[u'Spectre\xc2' u'Skyfall\xc2' u'Mission: Impossible - Rogue Nation\xc2'
 u'Mission: Impossible III\xc2' u'Die Another Day\xc2'
 u'Mission: Impossible - Ghost Protocol\xc2'
 u'The World Is Not Enough\xc2' u'The Bourne Legacy\xc2'
 u'Mission: Impossible II\xc2' u""Dante's Peak\xc2""
 u'Tomorrow Never Dies\xc2' u'Live Free or Die Hard\xc2'
 u'Casino Royale\xc2' u'The Expendables 2\xc2' u'The Expendables 3\xc2'
 u'Die Hard with a Vengeance\xc2' u'The Expendables\xc2'
 u'Mission: Impossible\xc2' u'The Rock\xc2' u'xXx\xc2'
 u'Space Cowboys\xc2' u'Cliffhanger\xc2' u'GoldenEye\xc2'
 u'Executive Decision\xc2' u'On Deadly Ground\xc2' u'Licence to Kill\xc2'
 u'The Living Daylights\xc2' u'Extreme Ops\xc2'
 u'Never Say Never Again\xc2' u'The Hunt for Red October\xc2'
 u'A View to a Kill\xc2' u'For Your Eyes Only\xc2' u'Octopussy\xc2'
 u'Firefox\xc2' u'Commando\xc2' u'You Only Live Twice\xc2'
 u'Thunderball\xc2' u""On Her Majesty's Secret Service\xc2""
 u'Diamonds Are Forever\xc2' u'Live and Let Die\xc2'
 u'The Man with the Golden Gun\xc2' u'Goldfinger\xc2'
 u'From Russia with Love\xc2' u'Dr. No\xc2']"
128,Action|Adventure|Thriller|War,[u'Rambo III\xc2' u'Rambo: First Blood Part II\xc2']
129,Action|Adventure|Western,"[u'The Lone Ranger\xc2' u'The Legend of Zorro\xc2' u'Hidalgo\xc2'
 u'The Legend of the Lone Ranger\xc2' u'The Wild Bunch\xc2'
 u'Blackthorn\xc2']"
130,Action|Animation|Comedy|Crime|Family,[u'Hoodwinked!\xc2']
131,Action|Animation|Comedy|Family,[u'The Angry Birds Movie\xc2']
132,Action|Animation|Comedy|Family|Fantasy,[u'Foodfight!\xc2']
133,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,[u'The Powerpuff Girls\xc2']
134,Action|Animation|Comedy|Family|Sci-Fi,[u'Megamind\xc2' u'Minions\xc2' u'Astro Boy\xc2']
135,Action|Animation|Comedy|Sci-Fi,[u'Pixels\xc2']
136,Action|Animation|Crime|Sci-Fi|Thriller,"[u'Batman: The Dark Knight Returns, Part 2\xc2']"
137,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,"[u'Ultramarines: A Warhammer 40,000 Movie\xc2']"
138,Action|Animation|Sci-Fi,[u'Akira\xc2']
139,Action|Animation|Sci-Fi|Thriller,[u'Renaissance\xc2']
140,Action|Biography|Crime|Drama,"[u'Machine Gun Preacher\xc2' u'The Baader Meinhof Complex\xc2'
 u'Bronson\xc2']"
141,Action|Biography|Crime|Drama|Family|Fantasy,[u'The Masked Saint\xc2']
142,Action|Biography|Crime|Drama|Thriller,[u'Domino\xc2']
143,Action|Biography|Documentary|Sport,[u'Born to Fly: Elizabeth Streb vs. Gravity\xc2']
144,Action|Biography|Drama,[u'The Grandmaster\xc2']
145,Action|Biography|Drama|History,[u'Ip Man 3\xc2' u'Queen of the Mountains\xc2']
146,Action|Biography|Drama|History|Romance|War,[u'Henry V\xc2']
147,Action|Biography|Drama|History|Romance|Western,[u'Tombstone\xc2']
148,Action|Biography|Drama|History|Thriller|War,[u'American Sniper\xc2']
149,Action|Biography|Drama|History|War,[u'Free State of Jones\xc2']
150,Action|Biography|Drama|Sport,[u'Rush\xc2' u'Hands of Stone\xc2' u'Bloodsport\xc2']
151,Action|Biography|Drama|Thriller|War,[u'Lone Survivor\xc2']
152,Action|Comedy,"[u'Tropic Thunder\xc2' u""You Don't Mess with the Zohan\xc2""
 u'Man of the House\xc2' u'Ride Along 2\xc2' u'Kick-Ass\xc2'
 u'Undercover Brother\xc2' u'Team America: World Police\xc2'
 u'Spy Hard\xc2' u'Keanu\xc2' u'Kung Pow: Enter the Fist\xc2'
 u'Rumble in the Bronx\xc2' u'Khiladi 786\xc2' u'Compadres\xc2'
 u'The Legend of Drunken Master\xc2' u'Cotton Comes to Harlem\xc2']"
153,Action|Comedy|Crime,"[u'The Other Guys\xc2' u'Tower Heist\xc2'
 u'Austin Powers in Goldmember\xc2'
 u'Miss Congeniality 2: Armed and Fabulous\xc2' u'22 Jump Street\xc2'
 u'Central Intelligence\xc2' u'21 Jump Street\xc2' u'The Heat\xc2'
 u'Micmacs\xc2' u'Torque\xc2' u'Paul Blart: Mall Cop 2\xc2' u'Cop Out\xc2'
 u'Rush Hour\xc2' u'Hot Pursuit\xc2' u""Big Momma's House\xc2""
 u'Big Mommas: Like Father, Like Son\xc2' u'30 Minutes or Less\xc2'
 u'Kick-Ass 2\xc2' u'Paul Blart: Mall Cop\xc2' u'Kindergarten Cop\xc2'
 u'Pineapple Express\xc2' u'The Man\xc2' u'Code Name: The Cleaner\xc2'
 u'Beverly Hills Cop\xc2' u'Loaded Weapon 1\xc2' u'Drive Hard\xc2'
 u'A Low Down Dirty Shame\xc2' u'Wild Target\xc2' u'Mr. Nice Guy\xc2'
 u'Next Day Air\xc2']"
154,Action|Comedy|Crime|Drama,[u'After the Sunset\xc2' u'Plastic\xc2']
155,Action|Comedy|Crime|Drama|Romance|Thriller,"[u""Perrier's Bounty\xc2""]"
156,Action|Comedy|Crime|Drama|Thriller,"[u'Money Train\xc2' u'2 Guns\xc2' u'The Glimmer Man\xc2'
 u'Exit Wounds\xc2' u'Underclassman\xc2' u'Bad Boys\xc2' u'Wasabi\xc2']"
157,Action|Comedy|Crime|Family,[u'See Spot Run\xc2']
158,Action|Comedy|Crime|Fantasy,[u'Kung Fu Hustle\xc2' u'The Mask\xc2']
159,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,[u'Dylan Dog: Dead of Night\xc2']
160,Action|Comedy|Crime|Music,[u'The Blues Brothers\xc2']
161,Action|Comedy|Crime|Music|Romance|Thriller,[u'Dick Tracy\xc2']
162,Action|Comedy|Crime|Romance,[u'Miss Congeniality\xc2' u'Ride Along\xc2']
163,Action|Comedy|Crime|Romance|Thriller,"[u'Mr. & Mrs. Smith\xc2' u'One for the Money\xc2'
 u'Grosse Pointe Blank\xc2']"
164,Action|Comedy|Crime|Sci-Fi|Thriller,[u'The Green Hornet\xc2']
165,Action|Comedy|Crime|Thriller,"[u'Rush Hour 3\xc2' u'Bad Boys II\xc2' u'Rush Hour 2\xc2' u'RED 2\xc2'
 u'Hollywood Homicide\xc2' u'3000 Miles to Graceland\xc2' u'RED\xc2'
 u'Tango & Cash\xc2' u'Beverly Hills Cop III\xc2' u'Blue Streak\xc2'
 u'Midnight Run\xc2' u'Formula 51\xc2' u'Money Talks\xc2'
 u'Double Take\xc2' u'Beverly Hills Cop II\xc2'
 u'The Man Who Knew Too Little\xc2' u'Machete Kills\xc2'
 u'All About the Benjamins\xc2' u'The Big Hit\xc2' u'Bon Cop Bad Cop\xc2'
 u'Showdown in Little Tokyo\xc2' u'Action Jackson\xc2' u'Taxman\xc2']"
166,Action|Comedy|Crime|Western,[u'Bandidas\xc2']
167,Action|Comedy|Documentary,[u'Jackass 3D\xc2' u'Jackass Number Two\xc2']
168,Action|Comedy|Drama,[u'High Heels and Low Lifes\xc2']
169,Action|Comedy|Drama|Family|Thriller,[u'The Pacifier\xc2']
170,Action|Comedy|Drama|Music,[u'The Last Dragon\xc2']
171,Action|Comedy|Drama|Sci-Fi,[u'American Hero\xc2']
