genres,id,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,budget_decimal,Profit
Action|Adventure|Family|Mystery|Sci-Fi,89,443.0,130.0,663.0,604.0,2000.0,93417865.0,128306,5046,2.0,497.0,2015.0,638.0,6.5,2.2,37000,190000000.0,-96582135.0
Action|Adventure|Family|Sci-Fi,4015,157.0,217.0,34.0,1178.0,3000.0,27312265.0,48585,8029,11.0,372.0,3993.0,1419.0,7.800000000000001,4.2,1494,52000000.0,-24687735.0
Action|Adventure|Family|Sci-Fi|Thriller,476,102.0,130.0,81.0,427.0,10000.0,69102910.0,58402,12186,0.0,370.0,1998.0,882.0,5.1,2.35,0,80000000.0,-10897090.0
Action|Adventure|Family|Thriller,1319,66.0,93.0,13.0,173.0,15000.0,652526.0,20201,15638,3.0,187.0,2006.0,460.0,5.1,2.35,823,40000000.0,-39347474.0
Action|Adventure|Fantasy,28971,6584.0,3481.0,34079.0,42116.0,404379.0,3364768404.0,6067340,582971,38.0,16055.0,60088.0,102877.0,187.0,67.93000000000002,473899,3182905000.0,317768404.0
Action|Adventure|Fantasy|Horror,1999,143.0,92.0,892.0,492.0,783.0,1550000.0,30628,2930,2.0,471.0,2005.0,595.0,2.9,2.35,937,25000000.0,-23450000.0
Action|Adventure|Fantasy|Horror|Sci-Fi,434,345.0,120.0,0.0,160.0,3000.0,75754670.0,208422,3632,0.0,342.0,2008.0,169.0,7.0,1.85,3000,85000000.0,-9245330.0
Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,676,185.0,122.0,687.0,957.0,16000.0,52397389.0,132954,19764,0.0,514.0,2004.0,1000.0,5.9,2.35,0,65000000.0,-12602611.0
Action|Adventure|Fantasy|Horror|Thriller,73,264.0,112.0,357.0,595.0,5000.0,102176165.0,117927,9131,2.0,501.0,2008.0,3000.0,5.2,2.35,0,145000000.0,-42823835.0
Action|Adventure|Fantasy|Romance,246,897.0,372.0,179.0,8236.0,63000.0,867839911.0,1178232,100021,3.0,3768.0,6016.0,22567.0,21.2,6.550000000000001,28000,539000000.0,328839911.0
Action|Adventure|Fantasy|Sci-Fi,18922,3929.0,1585.0,1829.0,14950.0,148721.0,3560217100.0,5869032,254548,15.0,21241.0,25990.0,68612.0,90.79999999999998,26.560000000000006,280481,1165500000.0,2394717100.0
Action|Adventure|Fantasy|Sci-Fi|Thriller,14877,2338.0,1301.0,1700.0,36655.0,123558.0,1148515021.0,2231039,246191,13.0,6980.0,24050.0,61498.0,68.4,25.720000000000006,83287,937500000.0,211015021.0
Action|Adventure|Fantasy|Thriller,7541,882.0,681.0,2292.0,2234.0,75603.0,441866740.0,582863,90654,17.0,2681.0,12034.0,9022.0,30.500000000000004,13.53,721,376500000.0,68866740.0
Action|Adventure|Fantasy|War,648,90.0,102.0,4.0,112.0,14000.0,5932060.0,29285,14625,0.0,174.0,2007.0,394.0,5.4,2.35,0,35000000.0,-29067940.0
Action|Adventure|History,6693,653.0,389.0,1654.0,1717.0,26845.0,33864710.0,400763,31523,9.0,2236.0,7981.0,2127.0,28.9,9.4,76,161000000.0,-127135290.0
Action|Adventure|History|Romance,2013,91.0,121.0,9.0,520.0,1000.0,0.0,34338,3287,2.0,103.0,2011.0,870.0,6.2,2.35,0,25000000.0,0.0
Action|Adventure|History|Western,4340,2.0,108.0,531.0,894.0,10000.0,0.0,583,15707,1.0,14.0,2011.0,1000.0,4.4,0.0,651,2000000.0,0.0
Action|Adventure|Horror|Sci-Fi,4451,1055.0,401.0,994.0,2223.0,31000.0,179340527.0,542931,40131,1.0,3689.0,8021.0,3585.0,24.1,8.9,19000,190000000.0,-10659473.0
Action|Adventure|Horror|Sci-Fi|Thriller,2082,962.0,314.0,416.0,1260.0,18614.0,225670237.0,530805,35125,0.0,1507.0,6029.0,11457.0,16.1,7.050000000000001,129785,272000000.0,-46329763.0
Action|Adventure|Horror|Thriller,3022,213.0,186.0,76.0,1036.0,2601.0,97084382.0,95782,6447,0.0,415.0,4001.0,1445.0,9.2,4.7,686,70000000.0,27084382.0
Action|Adventure|Mystery|Romance|Thriller,4855,0.0,90.0,2.0,99.0,466.0,0.0,30,842,2.0,0.0,2010.0,216.0,4.3,1.85,16,290000.0,0.0
Action|Adventure|Mystery|Sci-Fi,1185,594.0,233.0,519.0,1293.0,11426.0,170044068.0,421907,23765,0.0,1039.0,4008.0,10387.0,12.0,4.2,71000,170000000.0,44068.0
Action|Adventure|Mystery|Sci-Fi|Thriller,2236,476.0,344.0,156.0,2431.0,18000.0,179431141.0,177668,31750,5.0,1011.0,6014.0,6946.0,18.5,6.550000000000001,12000,215000000.0,-35568859.0
Action|Adventure|Romance,6329,1286.0,670.0,786.0,14323.0,75964.0,776513711.0,1004528,141453,9.0,5007.0,10027.0,33931.0,29.799999999999997,11.75,19299,696000000.0,80513711.0
Action|Adventure|Romance|Sci-Fi,5702,161.0,502.0,1289.0,1030.0,2143.0,108200000.0,93018,7486,10.0,409.0,8016.0,1717.0,22.1,4.7,1887,64000000.0,54200000.0
Action|Adventure|Romance|Sci-Fi|Thriller,3772,876.0,513.0,663.0,6285.0,38622.0,159570487.0,671262,71452,5.0,2329.0,8020.0,24446.0,25.9,9.4,43000,360000000.0,-200429513.0
Action|Adventure|Romance|Thriller,553,53.0,134.0,109.0,249.0,919.0,37600435.0,55350,1695,3.0,180.0,1995.0,303.0,5.9,1.85,0,55000000.0,-17399565.0
Action|Adventure|Romance|War,4509,24.0,100.0,345.0,94.0,843.0,0.0,3418,1621,3.0,52.0,1936.0,490.0,7.1,1.37,204,1200000.0,0.0
Action|Adventure|Romance|Western,4081,91.0,126.0,393.0,281.0,862.0,0.0,21316,2269,0.0,162.0,1948.0,376.0,7.8,1.37,0,3000000.0,0.0
Action|Adventure|Sci-Fi,30534,19179.0,6729.0,71063.0,134643.0,601388.0,9290409191.0,15804493,1184557,64.0,46042.0,102287.0,295299.0,337.10000000000014,114.9999999999999,1954098,7137700000.0,2205209191.0
Action|Adventure|Sci-Fi|Thriller,38039,8864.0,4092.0,57414.0,40253.0,326871.0,3677153259.0,7112358,504755,28.0,23956.0,70069.0,97253.0,223.49999999999997,80.39999999999999,823000,3083305523.0,594047736.0
Action|Adventure|Thriller,65920,10331.0,5758.0,65738.0,46255.0,305734.0,4612288238.0,7995886,481586,73.0,25632.0,91675.0,90543.0,310.40000000000003,103.27999999999996,651970,3471300000.0,1150988238.0
Action|Adventure|Thriller|War,1962,180.0,183.0,180.0,1017.0,26000.0,204131043.0,209712,30236,1.0,388.0,3973.0,1738.0,12.100000000000001,4.7,2000,107000000.0,97131043.0
Action|Adventure|Western,10948,991.0,759.0,1787.0,2834.0,67874.0,210132679.0,393204,90802,4.0,1668.0,11983.0,13183.0,38.7,14.1,49297,414244087.0,-198066973.0
Action|Animation|Comedy|Crime|Family,2480,142.0,80.0,19.0,854.0,11000.0,51053787.0,45900,14385,1.0,247.0,2005.0,979.0,6.5,1.85,0,17500000.0,33553787.0
Action|Animation|Comedy|Family,568,141.0,97.0,6.0,415.0,22000.0,107225164.0,27130,24350,0.0,126.0,2016.0,1000.0,6.3,1.85,14000,73000000.0,34225164.0
Action|Animation|Comedy|Family|Fantasy,1137,12.0,91.0,11.0,500.0,719.0,0.0,4377,3090,0.0,66.0,2012.0,611.0,1.7,0.0,0,65000000.0,0.0
Action|Animation|Comedy|Family|Fantasy|Sci-Fi,1973,7.0,30.0,0.0,265.0,971.0,0.0,23664,2346,0.0,60.0,0.0,918.0,7.2,4.0,581,0.0,0.0
Action|Animation|Comedy|Family|Sci-Fi,1463,679.0,280.0,160.0,9668.0,43000.0,503915161.0,340838,83101,4.0,539.0,6034.0,24000.0,20.0,6.550000000000001,83000,269000000.0,234915161.0
Action|Animation|Comedy|Sci-Fi,373,253.0,106.0,0.0,1000.0,22000.0,78747585.0,89770,35367,0.0,342.0,2015.0,11000.0,5.6,2.35,39000,88000000.0,-9252415.0
Action|Animation|Crime|Sci-Fi|Thriller,4018,44.0,148.0,41.0,739.0,2000.0,0.0,30434,5526,0.0,55.0,2013.0,774.0,8.4,0.0,5000,3500000.0,0.0
Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,3325,19.0,76.0,4.0,151.0,722.0,0.0,4990,1254,0.0,64.0,2010.0,212.0,5.7,1.85,0,0.0,0.0
Action|Animation|Sci-Fi,3424,150.0,124.0,78.0,4.0,6.0,439162.0,106160,28,0.0,430.0,1988.0,5.0,8.1,1.85,0,1100000000.0,-1099560838.0
